Date : 2026-06-12 15:42:09
Directory : /Volumes/ROG ESD/Git/fdp-neo/server/src
Total : 111 files,  13397 codes, 5456 comments, 3407 blanks, all 22260 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |        111 |     13,397 |      5,456 |      3,407 |     22,260 |
+----------+------------+------------+------------+------------+------------+
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/profiles/manifest.py      | Python   |        167 |         57 |         64 |        288 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/profiles/migrate.py       | Python   |         77 |         35 |         27 |        139 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/profiles/rd_records.py    | Python   |        176 |         77 |         38 |        291 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/profiles/rd_service.py    | Python   |        112 |         60 |         36 |        208 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/profiles/registry.py      | Python   |        165 |        121 |         46 |        332 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/profiles/state.py         | Python   |         58 |         26 |         20 |        104 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/profiles/validator.py     | Python   |        251 |         47 |         42 |        340 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/rd_api.py                 | Python   |        189 |         66 |         52 |        307 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/repository.py             | Python   |         93 |         65 |         23 |        181 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/schema_sync.py            | Python   |        204 |         67 |         52 |        323 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/schemas.py                | Python   |        289 |         81 |         56 |        426 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/search/__init__.py        | Python   |          1 |          7 |          2 |         10 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/search/extract.py         | Python   |        103 |         25 |         31 |        159 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/search/indexer.py         | Python   |         81 |         31 |         22 |        134 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/search/model.py           | Python   |         34 |          8 |         15 |         57 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/search/repository.py      | Python   |        179 |         16 |         36 |        231 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/search/router.py          | Python   |         21 |          7 |         12 |         40 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/search/saved.py           | Python   |        190 |         15 |         53 |        258 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/search/service.py         | Python   |        128 |         21 |         36 |        185 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/settings.py               | Python   |        339 |        129 |         80 |        548 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/shacl.py                  | Python   |        171 |         67 |         42 |        280 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/shape_provider.py         | Python   |         27 |         33 |         15 |         75 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/states.py                 | Python   |         26 |         31 |         17 |         74 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metrics/__init__.py                | Python   |          0 |         32 |          1 |         33 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metrics/aggregation.py             | Python   |         97 |         44 |         20 |        161 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metrics/anonymize.py               | Python   |         37 |         24 |          9 |         70 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metrics/api.py                     | Python   |        228 |         38 |         45 |        311 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metrics/events.py                  | Python   |         39 |         43 |         23 |        105 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metrics/geo.py                     | Python   |         63 |         28 |         31 |        122 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metrics/jobs.py                    | Python   |         49 |         33 |         28 |        110 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metrics/middleware.py              | Python   |        142 |         54 |         41 |        237 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metrics/pipeline.py                | Python   |         61 |         36 |         17 |        114 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metrics/reader.py                  | Python   |        224 |         53 |         36 |        313 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metrics/repository.py              | Python   |        401 |         79 |         55 |        535 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metrics/salt.py                    | Python   |         17 |         23 |         11 |         51 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metrics/scheduler.py               | Python   |         59 |         29 |         19 |        107 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/operational.py                     | Python   |        154 |         62 |         53 |        269 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/policy/__init__.py                 | Python   |          0 |         33 |          1 |         34 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/policy/cache.py                    | Python   |        127 |         38 |         29 |        194 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/policy/evaluator.py                | Python   |        106 |         21 |         22 |        149 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/policy/model.py                    | Python   |         91 |         67 |         67 |        225 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/policy/parser.py                   | Python   |        180 |         27 |         32 |        239 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/policy/pdp.py                      | Python   |         66 |         53 |         21 |        140 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/policy/resolver.py                 | Python   |         78 |         57 |         26 |        161 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/policy/runtime.py                  | Python   |         53 |         14 |         14 |         81 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/shared/__init__.py                 | Python   |          0 |         10 |          1 |         11 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/shared/context.py                  | Python   |         55 |         34 |         20 |        109 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/shared/errors.py                   | Python   |        184 |         62 |         80 |        326 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/shared/events.py                   | Python   |         77 |         46 |         29 |        152 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/shared/graphs.py                   | Python   |         92 |         89 |         52 |        233 |
